sector,co2,ch4,n2o,co2e_100yr,co2e_20yr
waste,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
power,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
forestry-and-land-use,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
buildings,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
transportation,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
fluorinated-gases,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
manufacturing,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
mineral-extraction,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
fossil-fuel-operations,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
agriculture,84974732269.11798,720594131.6893759,17651035.71120872,112323171056.61743,152557019330.69278
